1/1	" I'll only consume if I know what's inside it. " Still him drinking monster which has taurine
0/-1	" It is easier to fool a million people than it is to convince a million people that they have been fooled." - Mark Twain
0/0	" NATURAL IMMUNITY " protected us since evolution. Do not exist anymore?
0/-1	" NATURAL IMMUNITY " protected us since evolution. Do not exist anymore? ? ? No one talks about it, Why? ?
1/1/1/-1	" The bigest sideffect of vaccines is fewer dead children " That is savage
1/-1	" Unvaccinated people are more likely to become infected, develop severe COVID-19, and die. In fact, unvaccinated people account for virtually all recent COVID-19 hospitalizations and deaths in the U.S. "
1/1	" Vaccine takes more than a year to develop. " This is the mistake people are making. Its not 1976 anymore. Vaccines do not take years to make.
0/0	" YES IM A TRUCKER FROM USA AND I WONT GET VACCINATED Can I get retweets and follows from patriots? IFB, on the way back up to Ottawa to lend support @truckers4fredom "
1/-1	" just because I don't have dr in front of my name doesn't mean that my opinion is less valid" yes, it does, actually.
1/1	" out of anger People say stupid things" man is spot on. I got vaccine, im a 41 year olds old, had minor symptoms. Well Worth getting it, if it helps me get back to living normal life, Im all for it
0/0	"... it's been politicized in a way that has cost lives.". THAT is what should be investigated. THAT is what some people should be held accountable for!
0/-1	"... sole assessment of prior infections & #CovidVaccine responses based on antibody detection is not reliable & has serious limitations in individual patients"
0/0	"... vaccines are safe and effective." Why? Because WE SAID SO!
1/0/-1/0	"90% of people that get vaccinated don't get the virus" Wooow what's in the vaccine then? I'm very pro vaccination, but in my opinion Covid 19 vaccine is just sweetened water.
1/1	"95.6% effective against the original strain and 85.6% effective against the variant." Excellent news. Every positive news during this pandemic is to be welcomed (no pun intended)
0/-1	"A recent survey by the Kaiser Family Foundation found that 29% of healthcare workers were hesitant to receive the vaccine, citing concerns." Does this make all healthcare workers, a world "Health Threat" as big as Ebola if they refuse the life-threatening Covid Vaccine?
0/0	"A robber will never say he stole something" Don't wait for the media to tell you the truth...
0/0	"After taking the vaccine this week, OHA said the employee experienced anaphylaxis. OHA said the employee is recovering in the hospital." That means they could've died!
0	"All of us connect to each other". Is that via the Bluetooth tech in the injectable cocktails?
0/0	"Always trust a government that gives you free stuff." -Nobody Ever
0/1	"Anti-vaccine misinformation" i.e. when a doctor tries to cite to scientific reasons why you should not get the vaccine.
1/1	"Anti-vaxxers are basically nuts." Well & simply said
0/0	"Apocalypse omelet with Fauci sauce, Gates pickles, served in a roadside Censorship Diner by Joe Biden in his pajamas after escaping the White House and hitching a ride to Kansas".
0/0	"Appears Safe"... yeh think I will pass.
0/-1	"Benefits of the covid vaccine outweigh the risks“ Benefits = Profit Risks = Your death
0/0	"Benefits outweigh the risk?" A heart bypass sure but a virus with 90% survival rate? Dammm
0/0	"Benefits outweigh the risks" --- not for people who are not at risk at all.
1/1	"Both NHS workers have a history of serious allergies and carry adrenaline pens around with them." So 2 people had a reaction out of thousands and they were already prone to them. I will still be getting the jab when it is offered to me.Thank you!
1/1	"But I don't know what's in it." Yes, you do. Just get vaccinated.
1/1	"But I don't know what's in the vaccine". Girl, you don't know what's in your cereal but trust the FDA approval of it anyway. Wtf is your point?!?
0/0	"COVID arm" is a new rash-like side effect appearing among some people who've received Moderna's COVID-19 vaccine.
0/0	"COVID vaccine" there is none. Medical research shots I'll pass thanks
0/1	"Covid vaccine is 100% safe and effective." "There is no evidence that blood from a vaccinated donor can cause any harm." - Same guy.
0/0	"Despite high vaccination rates", and people blame the unvaccinated, "and" the blamers just refused to wear masks. What a wonderful world we are in.
0/0	"Died suddenly" or "cardiac arrest" are terms you will be hearing a lot more in 2022, and it won't be caused by the virus, but the treatment.
1/-1	"Distrust in the government is no cause for suspicion" Burt Gummer
1/1	"Do your own research!" they bray, as if they are every bit as qualified to diagnose and treat illness as professionals who have spent years learning in medical schools, just by reading what someone wrote on the internet.
1/1	"Doctors don't know anything about vaccines"?!? What is she fucking talking about?? That's like saying that Mechanics don't know anything about carburators! The fact that she said that implies that she knows more about vaccines than actual doctors. That her 20-30 minutes of "research" on google finding the answers she wanted is in some way a better education on vaccines than years in college studying in the field of medicine. Wow.
0/-1	"Doctors have said up to 90 per cent of Covid patients in intensive care units are unvaccinated". -- Which doctors? Why do the stats always show the reverse?
1/1	"Don't believe the anti-vaxxers. covid-19 vax have been thoroughly tested & are safe
1/0	"Don't take it" babies...
0/1	"Durrrr I thought they were already safe!!!! The vaccines are gonna turn us into living tracking devices!!!! Now excuse me while I keep scrolling Facebook which also tracks my every move, but it's only bad when an organisation with the word World in it does it because", idk, communism I guess?
0/0	"Employer can force an employee to get vaccinated." So... what happens if the employee is harmed by the vaccine? Will the employer pay for the employee's medical bills? I don't think so…
0/-1	"Empty hospital syndrome" has now morphed into doctors now shilling for big pharma welfare I see.
0/0	"Expert opinion"= paid shill
0/0	"Experts" and Govts said the same thing about Thalidomide, and look at the horrors it produced... No, I will pass, for many reasons, thank you!!!
0/0	"Experts"? I call them terrorists who should be in prison at best.
0/-1	"Feeling great prior to booster shot. Had injection at 1:30. Around 8 pm that evening had tachycardia and was in atrial fibrillation as confirmed on ECG."
0/0	"Feeling slightly under the weather for a day or so" So kind of like Covid for most people? Thanks for the propaganda but no thanks
